;adjacent_bz_key;adjacent_systems_label;bz_key;country_key;direction_key;indicator;period_from;period_to;region_key;value
138;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;3748084116.8
139;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-1406495874.0
140;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-1406495874.0
141;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-3209479408.0
142;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-179092032.0
143;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-179192032.0
144;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-670817252.0
145;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-74094144.0
146;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-74094144.0
147;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-73627455.0
148;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-65674784.0
149;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-65674784.0
150;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-70861514.0
151;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-200176856.0
152;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-201526856.0
153;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-297201571.0
154;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-3912000.0
155;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-3912000.0
156;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-4065690.0
157;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;857356280.0
158;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;857356280.0
159;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;857240617.0
160;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;WE;-40343523.0
161;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;WE;-364609835.0
162;-----------;Production;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;WE;58997188.0
