;period_from;period_to;point_type;cross_border_point_type;eu_relationship;region_key;adjacent_region_key;indicator;direction_key;value
83;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;exit;0.0
84;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;4835614191.0
85;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;3912776.0
86;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1794100628.54
87;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;1915685927.0960002
88;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Aggregated Point - Final Consumers;In-country EU;within EU;NWE;NWE;Physical Flow;exit;628659404.1
89;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Aggregated production point - TP;In-country EU;within EU;NWE;NWE;Physical Flow;entry;131057403.141
90;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;entry;0.0
91;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;exit;1289170654.6
92;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;entry;5890438626.0
93;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;exit;0.0
94;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;entry;2408766287.2
95;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;exit;0.0
96;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;entry;4689876270.0
97;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;exit;5092974290.0
98;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;entry;0.0
99;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;exit;141723028.0
100;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;entry;3341826956.4280005
101;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;exit;3021769572.2000003
102;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;entry;297772906.0
103;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;exit;31070038.0
104;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;entry;944561334.0
105;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;exit;0.0
106;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;5952312147.524002
107;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;5145951.0
108;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1675912015.34
109;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;1867334122.4
110;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Aggregated Point - Final Consumers;In-country EU;within EU;NWE;NWE;Physical Flow;exit;625937403.8
111;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Aggregated production point - TP;In-country EU;within EU;NWE;NWE;Physical Flow;entry;132546050.918
112;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;entry;0.0
113;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;exit;1270228827.6
114;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;entry;5884485978.0
115;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;exit;0.0
116;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;entry;2675349335.2000003
117;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;exit;0.0
118;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;entry;4688929478.0
119;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;exit;4851408579.0
120;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;entry;0.0
121;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;exit;199338194.0
122;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;entry;3455119231.1899996
123;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;exit;3245272935.4
124;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;entry;245417664.0
125;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;exit;29154098.0
126;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1009561090.0
127;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;exit;0.0
128;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;5548664230.080002
129;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;71412520.258
130;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1584886480.54
131;2021-01-06T06:00:00+01:00;2021-01-07T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;1756588858.192
132;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Aggregated Point - Final Consumers;In-country EU;within EU;NWE;NWE;Physical Flow;exit;687823332.0
133;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Aggregated production point - TP;In-country EU;within EU;NWE;NWE;Physical Flow;entry;133046298.96599999
134;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;entry;0.0
135;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;exit;1659097812.1
136;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;entry;5717872398.0
137;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;exit;0.0
138;2021-01-07T06:00:00+01:00;2021-01-08T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;entry;2529561288.3999996
