;period_from;period_to;region_key;country_key;bz_key;adjacent_bz_key;adjacent_systems_key;adjacent_systems_label;operator_key;points_names;indicator;direction_key;note;value
81;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL---------;CZ---------;TransmissionCZ---------;Czech;PL-TSO-0002;Cieszyn (PL) / Český Těšín (CZ);Physical Flow;exit;;0
82;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL---------;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;PL-TSO-0002;GCP GAZ-SYSTEM/ONTRAS;Physical Flow;entry;;168649
83;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL---------;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;PL-TSO-0002;GCP GAZ-SYSTEM/ONTRAS;Physical Flow;exit;;0
84;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL---------;PL-YAMAL---;TransmissionPL-YAMAL---;TGPS (YAMAL);PL-TSO-0002;Point of Interconnection (PWP) (PL);Physical Flow;entry;;6563859
85;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL---------;PL-YAMAL---;TransmissionPL-YAMAL---;TGPS (YAMAL);PL-TSO-0002;Point of Interconnection (PWP) (PL);Physical Flow;exit;;0
86;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-L-gas---;-----------;Distribution;Distribution;PL-TSO-0002;Aggregated Distribution - L-gas (PL);Physical Flow;entry;;459851
87;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-L-gas---;-----------;Distribution;Distribution;PL-TSO-0002;Aggregated Distribution - L-gas (PL);Physical Flow;exit;;838860
88;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-L-gas---;-----------;Final Consumers;Final Consumers;PL-TSO-0002;Final Consumers - L-gas (PL);Physical Flow;exit;;16201
89;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-L-gas---;-----------;Production;Production;PL-TSO-0002;Domestic Gas Fields - L-gas (PL);Physical Flow;entry;;495715
90;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-L-gas---;-----------;Production;Production;PL-TSO-0002;Nitrogen Removal Plants - L-gas (PL);Physical Flow;exit;;169651
91;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-YAMAL---;-----------;BY;Belarus;PL-TSO-0001;Kondratki;Physical Flow;entry;Gazprom Belarus;42808048
92;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-YAMAL---;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;PL-TSO-0001;Mallnow;Physical Flow;entry;;0
93;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-YAMAL---;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;PL-TSO-0001;Mallnow;Physical Flow;exit;;35730369
94;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-YAMAL---;PL---------;TransmissionPL---------;Poland H-gas;PL-TSO-0001;Point of Interconnection (PWP) (PL);Physical Flow;entry;;0
95;2021-01-01T08:00:00+01:00;2021-01-01T09:00:00+01:00;CE;PL;PL-YAMAL---;PL---------;TransmissionPL---------;Poland H-gas;PL-TSO-0001;Point of Interconnection (PWP) (PL);Physical Flow;exit;;6563859
96;2021-01-01T09:00:00+01:00;2021-01-01T10:00:00+01:00;CE;PL;PL---------;-----------;Distribution;Distribution;PL-TSO-0002;Aggregated Distribution - H-gas (PL);Physical Flow;exit;;22640561
