;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
30;;Booked;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedFirmBookedkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;
31;;N/A;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedFirmN/AkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;0.0
32;;Booked;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryActualInterruptibleBookedkWh/d;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;
33;;N/A;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryActualInterruptibleN/AkWh/d;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;0.0
34;;Booked;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitActualInterruptibleBookedkWh/d;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;
35;;N/A;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitActualInterruptibleN/AkWh/d;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;0.0
36;;Booked;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryActualInterruptibleBookedkWh/h;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;
37;;N/A;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryActualInterruptibleN/AkWh/h;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;0.0
38;;Booked;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitActualInterruptibleBookedkWh/h;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;
39;;N/A;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitActualInterruptibleN/AkWh/h;;Actual;;;;No unplanned interruption of Interruptible capacity;2018-04-11T12:46:57+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;0.0
