;id;message_id;market_participant_key;market_participant_eic;market_participant_name;message_type;publication_date_time;thread_id;version_number;event_status;event_type;event_start;event_stop;unavailability_type;unavailability_reason;unit_measure;balancing_zone_key;balancing_zone_eic;balancing_zone_name;affected_asset_identifier;affected_asset_name;affected_asset_eic;direction;unavailable_capacity;available_capacity;technical_capacity;remarks;last_update_date_time;share_point_point_id;is_latest_version;share_point_publication_id;u_m_m_type;is_archived
70;19421X-DE-D-A0A0A-K001;21010421X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2021-01-04T19:46:00+01:00;21010421X-DE-D-A0A0A-K001;001;Active;;2021-01-04T19:45:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2021-01-05T02:31:32+01:00;;No;21X-DE-D-A0A0A-KAutomatic194;Automatic;
71;19421X-DE-D-A0A0A-K002;21010421X-DE-D-A0A0A-K001_002;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2021-01-05T02:25:00+01:00;21010421X-DE-D-A0A0A-K001;002;Dismissed;;2021-01-04T19:45:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2021-01-05T02:31:32+01:00;;Yes;21X-DE-D-A0A0A-KAutomatic194;Automatic;
72;5FF6EC12250430000000000000000000038576001;0000000000000000000038576_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Other;2021-01-07T12:08:29+01:00;0000000000000000000038576;001;Active;;2021-10-01T06:00:00+02:00;2030-01-01T06:00:00+01:00;;;;;;;;;;;;;;Reduction of firm capacities for yearly auction (01.07.2019): OGE will not offer any firm freely allocable capacities at entry points (Entry-FZK) within the H-Gas market area in the yearly auction from 01.10.2021 onwards. Only interruptible capacities at entry points will be offered for a period of five years.;;;Yes;;Feeds;
73;5FF6EC12269BB0000000000000000000038749001;0000000000000000000038749_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Other;2021-01-07T12:08:29+01:00;0000000000000000000038749;001;Active;;2021-10-01T06:00:00+02:00;2030-01-01T06:00:00+01:00;;;;;;;;;;;;;;Reduction of capacities for yearly auction (01.07.2019): Open Grid Europe will not offer any conditionally firm freely allocable capacities at entry points (Entry-bFZK) at Virtual Interconnection Points. This limitation refers to capacities within the H-Gas market area for the period starting on 01.10.2021.;;;Yes;;Feeds;
74;5FF6EC12275200000000000000000000045256001;0000000000000000000045256_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Other;2021-01-07T12:08:29+01:00;0000000000000000000045256;001;Active;;2019-11-05T06:00:00+01:00;2024-12-31T06:00:00+01:00;;;;;;;;;;;;;;Construction of new sections on TENP I pipeline system: ;;;Yes;;Feeds;
75;4360001;21012521X000000001376X001_001;AL-TSO-0001;21X000000001376X;Trans Adriatic Pipeline AG;Other;2021-01-25T13:34:07+01:00;21012521X000000001376X001;001;Active;;2020-11-15T06:00:00+01:00;;;;;;;;;;;;;;;Please note that the forward firm available capacity at the IP Melendugno and IP Nea Mesimvria published on the PRISMA Capacity Booking Platform might differ from the available forward firm capacity published on the ENTSOG Transparency Platform for the respective IPs, due to the competition constraint between IP Nea Mesimvria and IP Melendugno. For more details on how TAP is tackling the competition constraint please refer to Section 6.4 TAP Network Code.;2021-01-25T13:35:45+01:00;0.0;Yes;21X000000001376XManual436;;
76;19521X-DE-D-A0A0A-K001;21012621X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2021-01-26T20:57:00+01:00;21012621X-DE-D-A0A0A-K001;001;Active;;2021-01-26T20:57:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2021-01-27T01:00:33+01:00;;No;21X-DE-D-A0A0A-KAutomatic195;Automatic;
77;19521X-DE-D-A0A0A-K002;21012621X-DE-D-A0A0A-K001_002;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2021-01-27T00:55:00+01:00;21012621X-DE-D-A0A0A-K001;002;Dismissed;;2021-01-26T20:57:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2021-01-27T01:00:33+01:00;;No;21X-DE-D-A0A0A-KAutomatic195;Automatic;
78;607837B45E3900000000000660991L1001076001;000000000066099-1L1001076_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T14:52:54+02:00;000000000066099-1L1001076;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Kienbaum Entry: Suspension of yearly auctions at PRISMA (DAC): 21024347;KWh/d;;37Y701125MH0000I;;;Kienbaum Entry;37Z000000001078I;;-1;-1;-1;Kienbaum Entry: Suspension of yearly auctions at PRISMA (DAC): 21024347;;;No;;Feeds;
79;607837B45F77A0000000000660991L1000947001;000000000066099-1L1000947_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T14:52:54+02:00;000000000066099-1L1000947;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Steinitz Entry: Suspension of yearly auctions at PRISMA (DAC): 21024347;KWh/d;;37Y701125MH0000I;;;Steinitz Entry;21Z000000000237O;;-1;-1;-1;Steinitz Entry: Suspension of yearly auctions at PRISMA (DAC): 21024347;;;No;;Feeds;
80;607837B46AC8E0000000000660981L2001095001;000000000066098-1L2001095_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T14:52:54+02:00;000000000066098-1L2001095;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Achim II Entry: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Achim II Entry;37Z0000000070550;;-1;-1;-1;Achim II Entry: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
81;607837B46BE550000000000660981L1001094001;000000000066098-1L1001094_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T14:52:54+02:00;000000000066098-1L1001094;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Ellund Entry: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Ellund Entry;21Z0000000000260;;32950272;1470405888;1503356160;Ellund Entry: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
82;607837B46DF100000000000660981L1001076001;000000000066098-1L1001076_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T14:52:54+02:00;000000000066098-1L1001076;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Kienbaum Entry: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Kienbaum Entry;37Z000000001078I;;-1;-1;-1;Kienbaum Entry: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
83;607837B46FD5F0000000000660981L1000947001;000000000066098-1L1000947_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T14:52:54+02:00;000000000066098-1L1000947;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Steinitz Entry: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Steinitz Entry;21Z000000000237O;;-1;-1;-1;Steinitz Entry: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
84;60784820B5B050000000000661142L1000945001;000000000066114-2L1000945_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T16:03:23+02:00;000000000066114-2L1000945;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Wardenburg Exit: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Wardenburg Exit;37Z000000006389D;;-1;-1;-1;Wardenburg Exit: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
85;60784820B79B30000000000661142L1001094001;000000000066114-2L1001094_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T16:03:23+02:00;000000000066114-2L1001094;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Ellund Exit: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Ellund Exit;21Z0000000000260;;151296000;8065584000;8216880000;Ellund Exit: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
86;60784820C035C0000000000661142L1000947001;000000000066114-2L1000947_001;DE-TSO-0009;21X-DE-C-A0A0A-T;Open Grid Europe;Gas;2021-04-15T16:03:23+02:00;000000000066114-2L1000947;001;Active;Transmission system unavailability;2021-10-01T06:00:00+02:00;2022-10-01T06:00:00+02:00;Unplanned;Steinitz Exit: Capacity offer reduced / yearly auction suspended: 21024347;KWh/d;;37Y701125MH0000I;;;Steinitz Exit;21Z000000000237O;;-1;-1;-1;Steinitz Exit: Capacity offer reduced / yearly auction suspended: 21024347;;;No;;Feeds;
