;adjacent_bz_key;adjacent_systems_label;country_key;direction_key;indicator;period_from;period_to;region_key;value
142;E-LUX------;BeLux;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
143;E-LUX------;BeLux;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
144;NL---------;Netherlands;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;655199076
145;NL---------;Netherlands;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;24858960
146;NL---------;Netherlands;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
147;NL---------;Netherlands;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
148;NL---------;Netherlands;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;634324309
149;NL---------;Netherlands;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
150;R----------;TRF;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;2664000
151;R----------;TRF;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;274099263
152;R----------;TRF;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
153;R----------;TRF;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
154;R----------;TRF;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
155;R----------;TRF;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;246096439
156;UK-IUK-----;IUK;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
157;UK-IUK-----;IUK;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;381206048
158;UK-IUK-----;IUK;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
159;UK-IUK-----;IUK;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
160;UK-IUK-----;IUK;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
161;UK-IUK-----;IUK;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;381450716
162;-----------;Distribution;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;157772
163;-----------;Distribution;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;552259341
164;-----------;Distribution;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
165;-----------;Distribution;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;552101569
166;-----------;Final Consumers;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
167;-----------;Final Consumers;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;325548364
168;-----------;Final Consumers;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;325887303
169;-----------;LNG Terminals;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;30950984
170;-----------;LNG Terminals;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;220000
171;-----------;LNG Terminals;BE;entry;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
172;-----------;LNG Terminals;BE;exit;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
173;-----------;LNG Terminals;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;23301927
174;-----------;LNG Terminals;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
175;-----------;Storage;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;143396192
176;-----------;Storage;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
177;-----------;Storage;BE;entry;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
178;-----------;Storage;BE;exit;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
179;-----------;Storage;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;155729839
180;-----------;Storage;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
181;-----------;Transmission;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;468812229
182;-----------;Transmission;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
183;-----------;Transmission;BE;entry;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
184;-----------;Transmission;BE;exit;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
185;-----------;Transmission;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;468990586
186;-----------;Transmission;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
187;BE-L-ZONE--;L-Zone;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;47040000
188;BE-L-ZONE--;L-Zone;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
189;BE-L-ZONE--;L-Zone;BE;entry;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
190;BE-L-ZONE--;L-Zone;BE;exit;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
191;BE-L-ZONE--;L-Zone;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
192;BE-L-ZONE--;L-Zone;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
193;DE-GASPOOL-;GASPOOL;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;74245344
194;DE-GASPOOL-;GASPOOL;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;151200
195;DE-GASPOOL-;GASPOOL;BE;entry;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
196;DE-GASPOOL-;GASPOOL;BE;exit;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
197;DE-GASPOOL-;GASPOOL;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;45121381
198;DE-GASPOOL-;GASPOOL;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
199;DE-NCG-----;NCG;BE;entry;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;84724000
200;DE-NCG-----;NCG;BE;exit;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;15360
201;DE-NCG-----;NCG;BE;entry;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
202;DE-NCG-----;NCG;BE;exit;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
203;DE-NCG-----;NCG;BE;entry;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;115166412
204;DE-NCG-----;NCG;BE;exit;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;0
