;booking_platform_key;booking_platform_label;booking_platform_u_r_l;capacity_booking_status;capacity_type;data_set;direction_key;flow_status;general_remarks;id;id_point_type;indicator;interruption_calculation_remark;interruption_type;is_archived;is_cam_relevant;is_cmp_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;point_type;restoration_information;tso_eic_code;tso_item_identifier;unit;value
39;;;;;;1;exit;Provisional;;1Allocationday2018-01-202018-01-21DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:27:08+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-20T06:00:00+01:00;2018-01-21T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
40;;;;;;1;entry;Provisional;;1Allocationday2018-01-202018-01-21DE-TSO-0018ITP-00517entrykWh/d;5;Allocation;;;False;True;True;;;;2021-01-15T18:32:42+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-20T06:00:00+01:00;2018-01-21T06:00:00+01:00;day;ITP-00517;Achim II;Transmission Point;;21X0000000012388;37Z0000000070550;kWh/d;0
41;;;;;;1;exit;Provisional;;1Allocationday2018-01-202018-01-21DE-TSO-0018ITP-00517exitkWh/d;5;Allocation;;;False;True;True;;;;2021-01-15T18:50:02+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-20T06:00:00+01:00;2018-01-21T06:00:00+01:00;day;ITP-00517;Achim II;Transmission Point;;21X0000000012388;37Z0000000070550;kWh/d;2750000
42;;;;;;1;entry;Provisional;;1Allocationday2018-01-212018-01-22DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:57:07+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-21T06:00:00+01:00;2018-01-22T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
43;;;;;;1;exit;Provisional;;1Allocationday2018-01-212018-01-22DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:35:02+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-21T06:00:00+01:00;2018-01-22T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
44;;;;;;1;entry;Provisional;;1Allocationday2018-01-222018-01-23DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:00:04+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-22T06:00:00+01:00;2018-01-23T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
45;;;;;;1;exit;Provisional;;1Allocationday2018-01-222018-01-23DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:59:10+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-22T06:00:00+01:00;2018-01-23T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
46;;;;;;1;entry;Provisional;;1Allocationday2018-01-232018-01-24DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:34:36+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-23T06:00:00+01:00;2018-01-24T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
47;;;;;;1;exit;Provisional;;1Allocationday2018-01-232018-01-24DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:27:08+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-23T06:00:00+01:00;2018-01-24T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
48;;;;;;1;entry;Provisional;;1Allocationday2018-01-242018-01-25DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:29:39+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-24T06:00:00+01:00;2018-01-25T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
